Date,Timestep,Wind,Solar,Load
7/3/2012,0:30:00,19.10515825,0,35.18406449
7/3/2012,1:00:00,20.33085107,0,34.73647532
7/3/2012,1:30:00,23.40624838,0,38.98287757
7/3/2012,2:00:00,23.72817398,0,35.55181045
7/3/2012,2:30:00,23.39434263,0,35.89309042
7/3/2012,3:00:00,23.72172718,0,36.50832454
7/3/2012,3:30:00,21.03075521,0,44.01332494
7/3/2012,4:00:00,22.12797657,0,39.73100323
7/3/2012,4:30:00,16.52876723,0,33.96693574
7/3/2012,5:00:00,8.871526908,0,35.20274003
7/3/2012,5:30:00,12.15773909,0,40.51821327
7/3/2012,6:00:00,12.15476091,0,52.04957556
7/3/2012,6:30:00,6.436011158,0,74.14108323
7/3/2012,7:00:00,0,0,41.26506413
7/3/2012,7:30:00,0,0.18,37.22353046
7/3/2012,8:00:00,0,2.040793651,42.89781222
7/3/2012,8:30:00,0,1.926031746,39.86463274
7/3/2012,9:00:00,0,0.966825397,44.25610917
7/3/2012,9:30:00,0,2.26047619,39.83687513
7/3/2012,10:00:00,0,4.567460317,37.74454887
7/3/2012,10:30:00,0,6.941904762,41.54925119
7/3/2012,11:00:00,0,15.2831746,38.92666016
7/3/2012,11:30:00,0,17.33079365,40.93946433
7/3/2012,12:00:00,0,17.97365079,42.28268543
7/3/2012,12:30:00,0,18.25650794,38.87608408
7/3/2012,13:00:00,0,17.75253968,40.42855111
7/3/2012,13:30:00,0,17.73015873,48.7425181
7/3/2012,14:00:00,0,16.92174603,74.13304532
7/3/2012,14:30:00,0,14.55412698,73.85452496
7/3/2012,15:00:00,0,11.90079365,71.41779497
7/3/2012,15:30:00,0,8.85031746,55.75554023
7/3/2012,16:00:00,0,4.667777778,51.85013303
7/3/2012,16:30:00,0,0.937619048,56.47859984
7/3/2012,17:00:00,0,0.103174603,84.27473875
7/3/2012,17:30:00,0,0,91.92186811
7/3/2012,18:00:00,0,0,87.77047315
7/3/2012,18:30:00,0,0,96.44801488
7/3/2012,19:00:00,0,0.18,96.3222573
7/3/2012,19:30:00,0,0,94.97424357
7/3/2012,20:00:00,0,0,90.86955308
7/3/2012,20:30:00,0,0,91.19191901
7/3/2012,21:00:00,0.7152784,0,91.75982982
7/3/2012,21:30:00,7.232143725,0,82.05472304
7/3/2012,22:00:00,6.157738842,0,81.74952186
7/3/2012,22:30:00,0.747519842,0,73.29647693
7/3/2012,23:00:00,0,0,46.35560393
7/3/2012,23:30:00,0,0,35.95168921
7/4/2012,0:00:00,0,0,30.86100758
7/4/2012,0:30:00,0,0,26.86525633
7/4/2012,1:00:00,0,0,27.0090187
7/4/2012,1:30:00,0,0,29.96119876
7/4/2012,2:00:00,0,0,28.93777994
7/4/2012,2:30:00,0.812004467,0,33.26082156
7/4/2012,3:00:00,8.044640383,0,36.63963324
7/4/2012,3:30:00,7.922621033,0,41.06978346
7/4/2012,4:00:00,7.344741692,0,41.32447883
7/4/2012,4:30:00,9.247022817,0,33.34026044
7/4/2012,5:00:00,8.587301708,0,27.92323217
7/4/2012,5:30:00,7.792162583,0,31.61606946
7/4/2012,6:00:00,7.631449525,0,28.46168076
7/4/2012,6:30:00,6.711310767,0,42.09027518
7/4/2012,7:00:00,7.693949408,0,46.65603371
7/4/2012,7:30:00,6.362599075,0,30.49114343
7/4/2012,8:00:00,4.8611126,0.720793651,34.78000727
7/4/2012,8:30:00,4.004959092,1.099206349,36.65135657
7/4/2012,9:00:00,3.445438,1.572857143,33.42378923
7/4/2012,9:30:00,3.403273933,3.847777778,31.01619126
7/4/2012,10:00:00,2.690476067,5.162698413,31.13862756
7/4/2012,10:30:00,0,8.382380952,31.89828905
7/4/2012,11:00:00,0.731646083,15.23555556,39.37852783
7/4/2012,11:30:00,0,16.9152381,48.39256841
7/4/2012,12:00:00,0,17.99206349,48.00933401
7/4/2012,12:30:00,0,18.50253968,52.90680585
7/4/2012,13:00:00,0,17.09126984,38.88278478
7/4/2012,13:30:00,0,11.05666667,33.77134983
7/4/2012,14:00:00,0,9.334761905,34.80547787
7/4/2012,14:30:00,0,8.945555556,35.42556914
7/4/2012,15:00:00,0,3.988095238,34.61664859
7/4/2012,15:30:00,0,7.310634921,33.57653007
7/4/2012,16:00:00,0,3.921746032,45.55714646
7/4/2012,16:30:00,0,1.099206349,57.59214952
7/4/2012,17:00:00,0,0.227619048,51.60762099
7/4/2012,17:30:00,2.4538683,0,55.59652164
7/4/2012,18:00:00,5.200893233,0,56.74160642
7/4/2012,18:30:00,6.856645958,0,56.25044218
7/4/2012,19:00:00,6.996525667,0,60.42761755
7/4/2012,19:30:00,4.810513142,0,56.01755237
7/4/2012,20:00:00,0,0,87.40511426
7/4/2012,20:30:00,0,0,95.43040929
7/4/2012,21:00:00,0,0,95.21679795
7/4/2012,21:30:00,0,0,77.67954284
7/4/2012,22:00:00,0,0,79.70281738
7/4/2012,22:30:00,0,0,73.06139019
7/4/2012,23:00:00,2.258927083,0,108.6054585
7/4/2012,23:30:00,7.150794017,0,32.78597152
7/5/2012,0:00:00,9.393849217,0,27.06105116
7/5/2012,0:30:00,7.31994035,0,28.82456537
7/5/2012,1:00:00,6.840278158,0,27.72921338
7/5/2012,1:30:00,8.409225808,0,25.34480588
7/5/2012,2:00:00,4.769344117,0,28.0815012
7/5/2012,2:30:00,0,0,26.89163724
7/5/2012,3:00:00,0.47073475,0,27.27920819
7/5/2012,3:30:00,6.052081608,0,30.51870105
7/5/2012,4:00:00,5.61210255,0,30.59263655
7/5/2012,4:30:00,1.511409108,0,23.99919015
7/5/2012,5:00:00,5.775794283,0,25.12431932
7/5/2012,5:30:00,3.939980525,0,32.60963788
7/5/2012,6:00:00,3.729661208,0,25.19192701
7/5/2012,6:30:00,6.264387517,0,44.85219268
7/5/2012,7:00:00,3.713789433,0,40.96594026
7/5/2012,7:30:00,1.439482392,0.227619048,29.5303312
7/5/2012,8:00:00,4.313989333,0.871587302,31.33072925
7/5/2012,8:30:00,0,2.51047619,33.00945568
7/5/2012,9:00:00,0,3.068888889,26.50418253
7/5/2012,9:30:00,0,3.238095238,28.34376
7/5/2012,10:00:00,0,5.171746032,33.05200812
7/5/2012,10:30:00,0,6.343809524,36.29001815
7/5/2012,11:00:00,0.731646083,14.84269841,39.16021266
7/5/2012,11:30:00,6.996031733,14.74714286,43.72999655
7/5/2012,12:00:00,9.499008675,14.53031746,47.69658697
7/5/2012,12:30:00,7.784226558,10.22476191,45.15812301
7/5/2012,13:00:00,7.5565465,9.041111111,51.56687918
7/5/2012,13:30:00,9.149305425,6.277777778,42.41510153
7/5/2012,14:00:00,8.87450335,4.892857143,37.61376126
7/5/2012,14:30:00,7.4424592,8.472222222,30.62777823
7/5/2012,15:00:00,6.597221717,10.16269841,45.59209828
7/5/2012,15:30:00,1.9260909,6.329365079,43.92086849
7/5/2012,16:00:00,0,5.347777778,40.16823638
7/5/2012,16:30:00,0,1.136031746,43.51636633
7/5/2012,17:00:00,0,0.349206349,39.89042007
7/5/2012,17:30:00,0,0,35.1243774
7/5/2012,18:00:00,0,0,47.18691437
7/5/2012,18:30:00,0,0,46.51696569
7/5/2012,19:00:00,1.958828125,0,47.70678814
7/5/2012,19:30:00,0,0,66.53979028
7/5/2012,20:00:00,0,0,89.11995994
7/5/2012,20:30:00,0,0.18,88.20730313
7/5/2012,21:00:00,1.991071425,0,86.25316663
7/5/2012,21:30:00,3.387400183,0,82.06643307
7/5/2012,22:00:00,0.747519842,0,78.18872835
7/5/2012,22:30:00,0,0,92.56600625
7/5/2012,23:00:00,0,0,93.66115045
7/5/2012,23:30:00,0,0,29.29228262
7/6/2012,0:00:00,0,0,37.94094688
7/6/2012,0:30:00,0,0,35.35816541
7/6/2012,1:00:00,0,0,35.57156459
7/6/2012,1:30:00,0,0,37.13573774
7/6/2012,2:00:00,0,0,35.69650574
7/6/2012,2:30:00,0,0,35.01837752
7/6/2012,3:00:00,0,0,35.1897934
7/6/2012,3:30:00,0,0,39.27214392
7/6/2012,4:00:00,0,0,42.82245199
7/6/2012,4:30:00,0,0,33.93661201
7/6/2012,5:00:00,0,0,35.12858373
7/6/2012,5:30:00,0,0,38.4932787
7/6/2012,6:00:00,0,0,39.41120286
7/6/2012,6:30:00,0,0,36.17801377
7/6/2012,7:00:00,0,0,34.98800455
7/6/2012,7:30:00,0,0.18,36.10353378
7/6/2012,8:00:00,0,0.871587302,44.41086346
7/6/2012,8:30:00,0,1.334444444,45.63446216
7/6/2012,9:00:00,0,2.907301587,40.25457487
7/6/2012,9:30:00,0,6.016984127,44.05057687
7/6/2012,10:00:00,0,4.902222222,53.00810369
7/6/2012,10:30:00,0,8.577936508,44.73176793
7/6/2012,11:00:00,0,11.52238095,66.39776666
7/6/2012,11:30:00,0,11.57396825,51.60348594
7/6/2012,12:00:00,0,11.11253968,61.90978862
7/6/2012,12:30:00,0,4.604603175,41.10095106
7/6/2012,13:00:00,0,4.80015873,47.34352867
7/6/2012,13:30:00,0,11.89428571,43.78965208
7/6/2012,14:00:00,0,13.89,43.88394743
7/6/2012,14:30:00,0,10.67968254,40.07592427
7/6/2012,15:00:00,0,7.088412698,41.60630984
7/6/2012,15:30:00,0,5.927142857,43.52761155
7/6/2012,16:00:00,0,3.054126984,43.67351084
7/6/2012,16:30:00,0,0.739206349,54.07167683
7/6/2012,17:00:00,1.528095,0,63.98984698
7/6/2012,17:30:00,3.795000717,0,63.38724499
7/6/2012,18:00:00,3.989761017,0,94.17475781
7/6/2012,18:30:00,3.529047317,0,109.8715044
7/6/2012,19:00:00,3.065476125,0,102.077438
7/6/2012,19:30:00,0.854523925,0,107.4562844
7/6/2012,20:00:00,0.225952675,0,139.5118348
7/6/2012,20:30:00,0.335476308,0,94.63827856
7/6/2012,21:00:00,0,0,98.77254713
7/6/2012,21:30:00,0,0,84.38572518
7/6/2012,22:00:00,0,0,80.50587263
7/6/2012,22:30:00,0,0,87.69462823
7/6/2012,23:00:00,0,0,67.9885623
7/6/2012,23:30:00,0,0,41.30233252
7/7/2012,0:00:00,0,0,35.8146591
7/7/2012,0:30:00,0,0,39.36523535
7/7/2012,1:00:00,0,0,39.32346127
7/7/2012,1:30:00,0,0,35.79185291
7/7/2012,2:00:00,0,0,33.93103091
7/7/2012,2:30:00,0,0,34.82516897
7/7/2012,3:00:00,0,0,36.98487286
7/7/2012,3:30:00,0,0,39.64830554
7/7/2012,4:00:00,0,0,38.6279942
7/7/2012,4:30:00,0,0,33.08836018
7/7/2012,5:00:00,0,0,33.69028309
7/7/2012,5:30:00,0,0.18,42.19343164
7/7/2012,6:00:00,0,0,33.64038754
7/7/2012,6:30:00,0,0,32.61110338
7/7/2012,7:00:00,0,0,36.79644887
7/7/2012,7:30:00,0,0.103174603,87.73026456
7/7/2012,8:00:00,0,0.985238095,82.98224053
7/7/2012,8:30:00,0,1.543650794,84.46352525
7/7/2012,9:00:00,0,3.134920635,73.78129576
7/7/2012,9:30:00,0,3.977301587,77.03974235
7/7/2012,10:00:00,0,5.322539683,79.33860394
7/7/2012,10:30:00,0,7.137460317,72.67618899
7/7/2012,11:00:00,0,12.42714286,74.06103877
7/7/2012,11:30:00,0,12.3015873,73.61884914
7/7/2012,12:00:00,0,12.56206349,76.24332173
7/7/2012,12:30:00,0,12.44047619,71.97857999
7/7/2012,13:00:00,0,11.93761905,68.93453641
7/7/2012,13:30:00,0,8.40984127,68.22780494
7/7/2012,14:00:00,0,8.593809524,69.61969747
7/7/2012,14:30:00,0,6.700952381,53.37434594
7/7/2012,15:00:00,0,7.810952381,53.98260449
7/7/2012,15:30:00,0,5.855714286,57.03836586
7/7/2012,16:00:00,0,2.683650794,61.63723614
7/7/2012,16:30:00,0,0.816031746,63.93291691
7/7/2012,17:00:00,0,0.227619048,65.78748822
7/7/2012,17:30:00,0,0,74.99982424
7/7/2012,18:00:00,0,0,77.17198511
7/7/2012,18:30:00,0,0,88.83666258
7/7/2012,19:00:00,0,0,114.3227583
7/7/2012,19:30:00,0,0,106.4536808
7/7/2012,20:00:00,0,0,98.77367482
7/7/2012,20:30:00,0,0,101.6884201
7/7/2012,21:00:00,0,0,88.21016002
7/7/2012,21:30:00,0,0,120.9969277
7/7/2012,22:00:00,0,0,59.63255553
7/7/2012,22:30:00,0,0,71.96521609
7/7/2012,23:00:00,0,0,65.87204257
7/7/2012,23:30:00,0,0,37.84967453
7/8/2012,0:00:00,0,0,75.52488834
7/8/2012,0:30:00,0,0,35.93826853
7/8/2012,1:00:00,0,0,34.72233816
7/8/2012,1:30:00,0,0,34.49965033
7/8/2012,2:00:00,0,0,36.27531809
7/8/2012,2:30:00,0,0,34.42304883
7/8/2012,3:00:00,0,0,34.1333604
7/8/2012,3:30:00,0,0,40.39698625
7/8/2012,4:00:00,0,0,38.48483047
7/8/2012,4:30:00,0,0,35.57507928
7/8/2012,5:00:00,0,0,33.30160023
7/8/2012,5:30:00,0,0,38.91527226
7/8/2012,6:00:00,0,0,34.0705533
7/8/2012,6:30:00,0,0,35.59926116
7/8/2012,7:00:00,0,0,43.06227392
7/8/2012,7:30:00,0,0.18,50.87334274
7/8/2012,8:00:00,0,1.051587302,91.71424658
7/8/2012,8:30:00,0,0.739206349,77.9817941
7/8/2012,9:00:00,0,1.194444444,77.15033067
7/8/2012,9:30:00,0,2.157301587,74.02302927
7/8/2012,10:00:00,0,4.567460317,69.96096913
7/8/2012,10:30:00,0,6.886349206,64.41152904
7/8/2012,11:00:00,0,14.64,62.98267944
7/8/2012,11:30:00,0,15.82793651,59.24449454
7/8/2012,12:00:00,0,12.40730159,70.0211695
7/8/2012,12:30:00,0,13.71142857,68.49823381
7/8/2012,13:00:00,0,15.54079365,68.67011033
7/8/2012,13:30:00,0,15.76444444,51.0577372
7/8/2012,14:00:00,0,16.43904762,43.55036566
7/8/2012,14:30:00,0,9.413809524,41.18932705
7/8/2012,15:00:00,0,9.123015873,39.88482291
7/8/2012,15:30:00,0,6.196984127,38.06385602
7/8/2012,16:00:00,0,3.675714286,41.47912608
7/8/2012,16:30:00,0,0.727619048,45.1303353
7/8/2012,17:00:00,0,0.103174603,51.59953854
7/8/2012,17:30:00,0,0,48.3575421
7/8/2012,18:00:00,0,0,51.07437212
7/8/2012,18:30:00,0,0,56.26630089
7/8/2012,19:00:00,0,0,57.47747349
7/8/2012,19:30:00,0,0,61.25126761
7/8/2012,20:00:00,0,0,50.73375708
7/8/2012,20:30:00,0,0,51.07787921
7/8/2012,21:00:00,0,0,48.16561813
7/8/2012,21:30:00,0,0,46.43301754
7/8/2012,22:00:00,0,0,42.95771168
7/8/2012,22:30:00,0,0,38.73521173
7/8/2012,23:00:00,0,0,48.48529025
7/8/2012,23:30:00,0,0,77.59864816
7/9/2012,0:00:00,0,0,60.41438918
7/9/2012,0:30:00,0,0,68.37674846
7/9/2012,1:00:00,0,0,65.36249623
7/9/2012,1:30:00,0,0,66.14140506
7/9/2012,2:00:00,0,0,63.33566868
7/9/2012,2:30:00,0,0,26.39930958
7/9/2012,3:00:00,0,0,29.58824595
7/9/2012,3:30:00,0,0,35.51509961
7/9/2012,4:00:00,0.702142267,0,30.10332224
7/9/2012,4:30:00,0.6123806,0,24.83300169
7/9/2012,5:00:00,0,0,25.06673426
7/9/2012,5:30:00,0,0,32.16980085
7/9/2012,6:00:00,0,0,34.64173766
7/9/2012,6:30:00,0,0,31.45527418
7/9/2012,7:00:00,0,0,29.2586359
7/9/2012,7:30:00,0,0.18,33.4206975
7/9/2012,8:00:00,0,2.268412698,28.89941385
7/9/2012,8:30:00,0,0.871587302,30.91297441
7/9/2012,9:00:00,0,1.268412698,32.68014586
7/9/2012,9:30:00,0,2.10968254,31.77923539
7/9/2012,10:00:00,0,4.075396825,59.59633804
7/9/2012,10:30:00,0,6.941904762,28.10797731
7/9/2012,11:00:00,0,14.59238095,34.23742377
7/9/2012,11:30:00,0,16.97079365,36.96980463
7/9/2012,12:00:00,0,17.16920635,32.26688385
7/9/2012,12:30:00,0,17.28571429,34.54602982
7/9/2012,13:00:00,0,17.35174603,32.01669318
7/9/2012,13:30:00,0,16.38492064,26.74190904
7/9/2012,14:00:00,0,15.14285714,27.40923247
7/9/2012,14:30:00,0,14.48809524,40.60161442
7/9/2012,15:00:00,0,12.27920635,34.54443331
7/9/2012,15:30:00,0,9.03031746,37.44187317
7/9/2012,16:00:00,0,4.649365079,39.38418944
7/9/2012,16:30:00,0,0.919206349,35.84621242
7/9/2012,17:00:00,0,0.047619048,41.45100102
7/9/2012,17:30:00,0,0,39.4992872
7/9/2012,18:00:00,1.848809342,0,43.61726217
7/9/2012,18:30:00,5.75738,0,48.13180107
7/9/2012,19:00:00,7.97642935,0,45.32185712
7/9/2012,19:30:00,9.037620008,0,47.71816501
7/9/2012,20:00:00,6.978571733,0,43.33692476
7/9/2012,20:30:00,5.125238325,0,44.92038195
7/9/2012,21:00:00,6.185953158,0,39.09243532
7/9/2012,21:30:00,6.84571405,0,39.54966738
7/9/2012,22:00:00,5.982617858,0,34.50542315
7/9/2012,22:30:00,4.879285717,0,31.37666823
7/9/2012,23:00:00,5.117142975,0,40.61901663
7/9/2012,23:30:00,7.8745234,0,37.14254151
7/10/2012,0:00:00,7.419285525,0,33.84988101
7/10/2012,0:30:00,3.330237075,0,118.3785535
7/10/2012,1:00:00,2.986667267,0,74.14716034
7/10/2012,1:30:00,4.079761492,0.18,70.77885035
7/10/2012,2:00:00,4.945238217,0,65.44081336
7/10/2012,2:30:00,4.496666183,0,34.55924357
7/10/2012,3:00:00,2.484523208,0,35.48239377
7/10/2012,3:30:00,0.479523808,0,40.9423103
7/10/2012,4:00:00,0,0,41.48844701
7/10/2012,4:30:00,0,0,33.32881485
7/10/2012,5:00:00,0,0,31.50668274
7/10/2012,5:30:00,0,0,35.66523743
7/10/2012,6:00:00,0,0,38.21523034
7/10/2012,6:30:00,0,0,42.74894879
7/10/2012,7:00:00,0,0,33.37235918
7/10/2012,7:30:00,0,0.330793651,34.064064
7/10/2012,8:00:00,0,2.066031746,36.68766833
7/10/2012,8:30:00,1.540236725,2.043650794,38.48273786
7/10/2012,9:00:00,5.1680947,4.366507937,38.28766853
7/10/2012,9:30:00,6.738809817,5.406190476,35.86804747
7/10/2012,10:00:00,8.987619342,5.726190476,46.8801613
7/10/2012,10:30:00,7.204761483,7.009047619,78.31266848
7/10/2012,11:00:00,6.47904625,9.391428571,66.6972215
7/10/2012,11:30:00,3.643332917,14.2752381,63.29872041
7/10/2012,12:00:00,0,14.42603175,60.00920813
7/10/2012,12:30:00,0,13.35714286,54.54517513
7/10/2012,13:00:00,0.963332742,11.31349206,36.12993547
7/10/2012,13:30:00,1.026189883,11.09380952,32.92800028
7/10/2012,14:00:00,0,14.18,36.37940821
7/10/2012,14:30:00,4.590712967,4.822539683,45.21015086
7/10/2012,15:00:00,5.023095242,1.778888889,45.03264907
7/10/2012,15:30:00,6.408333575,0.966825397,43.32677556
7/10/2012,16:00:00,8.971905542,0.540793651,51.56669852
7/10/2012,16:30:00,8.490712392,0.227619048,53.02859637
7/10/2012,17:00:00,7.749762675,0,56.74540898
7/10/2012,17:30:00,9.103809583,0,56.99089904
7/10/2012,18:00:00,9.720238267,0,57.51373766
7/10/2012,18:30:00,5.886189525,0,49.90598748
