Wind,Solar,Load,
45.0143853,0,75.76131495,0
44.81101215,0,76.07266221,0
45.29761879,0,73.79848059,0
39.62499951,0,90.33324142,0
45.59920498,0,33.45374427,12.14546071
46.79414583,0,33.78101319,13.01313264
41.56696602,0,34.25849138,7.30847464
32.36706473,0,39.41612375,0
22.25099293,0,34.9610234,0
22.70585405,0,31.81381349,0
17.08184723,0,29.98967633,0
26.33829365,0,36.73793386,0
25.08630841,0,32.50733269,0
22.62400459,0,28.44943316,0
32.40029576,0,29.52884613,2.87144963
44.62450459,0.047619048,29.65355007,15.01857357
34.88739907,0.301587302,35.89935048,0
38.87847495,1.088412698,35.83374752,4.133140128
46.0054551,2.318888889,33.95364894,14.37069505
35.2276772,3.73015873,45.50691055,0
35.19791643,6.325396825,41.90209706,0
42.21081349,7.431111111,38.2266658,11.4152588
45.07886978,8.092698413,38.60667625,14.56489194
42.99851067,9.544761905,34.96618393,17.57708865
47.00446317,10.44301587,35.82061483,21.62686421
39.95783743,11.00142857,43.16044307,7.79882293
44.88194383,3.422063492,65.56849925,0
46.83382738,11.46968254,58.2856692,0.01784072
40.78918603,14.99460318,39.06911461,16.7146746
47.16071266,11.95095238,45.02962863,14.08203641
47.1264881,8.195555556,35.6392282,19.68281546
44.63293626,8.511904762,34.85578256,18.28905846
45.11061186,3.267301587,39.33856328,9.039350167
47.29067708,0.919206349,40.31052199,7.899361439
45.4126994,0.047619048,41.32285525,4.137463198
47.37797593,0,56.8500038,0
46.90823288,0,55.89185638,0
47.03918712,0,74.55121505,0
44.8834308,0,90.00610407,0
44.6403745,0,87.75551757,0
46.73809473,0,54.56809988,0
47.04513999,0,57.22762182,0
47.07688752,0,49.60974315,0
45.47619073,0,40.84733747,4.62885326
45.69642882,0,39.18477349,6.51165533
45.28124938,0,59.49004827,0
41.61607093,0,83.5020526,0
41.3556534,0,77.20896056,0
45.46825459,0,30.32986786,15.13838673
46.92510008,0,77.91558714,0
43.45188244,0,73.24252361,0
46.43650658,0,48.69975908,0
45.2981147,0,31.87671353,13.42140117
47.33581387,0,34.05798725,13.27782662
46.15029823,0,32.2808642,13.86943403
47.04662723,0,36.69898807,10.34763916
45.70535627,0,36.11872685,9.58662942
46.78372743,0,34.29906573,12.4846617
46.18254155,0,35.64552659,10.53701496
44.58382962,0,37.14522925,7.43860037
44.38789509,0,33.31183487,11.07606022
46.93998042,0,33.05308448,13.88689594
46.84375199,0,35.70045596,11.14329603
46.81845312,0,37.50898134,9.30947178
46.89186533,2.220793651,38.75849461,10.35416437
46.77678485,2.268412698,42.50489218,6.540305368
43.41964125,1.669206349,38.0867739,7.002073699
46.40376948,2.326507937,40.19753135,8.532746067
43.74603236,4.387460317,35.75193053,12.38156215
41.47023637,7.151904762,33.8614536,14.76068753
45.81944134,15.4931746,41.40583131,19.90678463
45.88293663,17.5884127,37.30169036,26.16965897
46.13541617,18.25650794,41.19582215,23.19610196
42.98065377,14.58079365,36.71095162,20.8504958
45.73859103,11.07,38.33629655,18.47229448
44.85069183,15.5368254,36.64155141,23.74596582
46.71230383,12.68396825,34.9268605,24.46941158
45.13591433,9.834761905,38.29696574,16.6737105
46.65476178,8.176031746,39.51666246,15.31413107
47.50099045,5.757936508,46.26348203,6.995444928
45.58978001,2.723333333,80.64671061,0
45.27380903,0.246031746,82.6535686,0
46.87648897,0.047619048,79.04775922,0
46.60813393,0,84.31159407,0
44.5362123,0,115.0552198,0
43.8675579,0,103.1979224,0
38.45635107,0,102.3378198,0
30.30456263,0,122.078099,0
23.38789943,0,120.155236,0
19.4399793,0,119.293575,0
17.78125014,0.18,77.47666089,0
17.64136831,0,76.18115956,0
17.15674492,0,91.29940543,0
21.23363058,0,71.31332097,0
21.48660789,0,43.84843497,0
19.04761793,0,40.83481701,0
13.71726166,0,34.5437226,0
19.10515825,0,35.18406449,0
20.33085107,0,34.73647532,0
23.40624838,0,38.98287757,0
23.72817398,0,35.55181045,0
23.39434263,0,35.89309042,0
23.72172718,0,36.50832454,0
21.03075521,0,44.01332494,0
22.12797657,0,39.73100323,0
16.52876723,0,33.96693574,0
8.871526908,0,35.20274003,0
12.15773909,0,40.51821327,0
12.15476091,0,52.04957556,0
6.436011158,0,74.14108323,0
0,0,41.26506413,0
0,0.18,37.22353046,0
0,2.040793651,42.89781222,0
0,1.926031746,39.86463274,0
0,0.966825397,44.25610917,0
0,2.26047619,39.83687513,0
0,4.567460317,37.74454887,0
0,6.941904762,41.54925119,0
0,15.2831746,38.92666016,0
0,17.33079365,40.93946433,0
0,17.97365079,42.28268543,0
0,18.25650794,38.87608408,0
0,17.75253968,40.42855111,0
0,17.73015873,48.7425181,0
0,16.92174603,74.13304532,0
0,14.55412698,73.85452496,0
0,11.90079365,71.41779497,0
0,8.85031746,55.75554023,0
0,4.667777778,51.85013303,0
0,0.937619048,56.47859984,0
0,0.103174603,84.27473875,0
0,0,91.92186811,0
0,0,87.77047315,0
0,0,96.44801488,0
0,0.18,96.3222573,0
0,0,94.97424357,0
0,0,90.86955308,0
0,0,91.19191901,0
0.7152784,0,91.75982982,0
7.232143725,0,82.05472304,0
6.157738842,0,81.74952186,0
0.747519842,0,73.29647693,0
0,0,46.35560393,0
0,0,35.95168921,0
0,0,30.86100758,0
0,0,26.86525633,0
0,0,27.0090187,0
0,0,29.96119876,0
0,0,28.93777994,0
0.812004467,0,33.26082156,0
8.044640383,0,36.63963324,0
7.922621033,0,41.06978346,0
7.344741692,0,41.32447883,0
9.247022817,0,33.34026044,0
8.587301708,0,27.92323217,0
7.792162583,0,31.61606946,0
7.631449525,0,28.46168076,0
6.711310767,0,42.09027518,0
7.693949408,0,46.65603371,0
6.362599075,0,30.49114343,0
4.8611126,0.720793651,34.78000727,0
4.004959092,1.099206349,36.65135657,0
3.445438,1.572857143,33.42378923,0
3.403273933,3.847777778,31.01619126,0
2.690476067,5.162698413,31.13862756,0
0,8.382380952,31.89828905,0
0.731646083,15.23555556,39.37852783,0
0,16.9152381,48.39256841,0
0,17.99206349,48.00933401,0
0,18.50253968,52.90680585,0
0,17.09126984,38.88278478,0
0,11.05666667,33.77134983,0
0,9.334761905,34.80547787,0
0,8.945555556,35.42556914,0
0,3.988095238,34.61664859,0
0,7.310634921,33.57653007,0
0,3.921746032,45.55714646,0
0,1.099206349,57.59214952,0
0,0.227619048,51.60762099,0
2.4538683,0,55.59652164,0
5.200893233,0,56.74160642,0
6.856645958,0,56.25044218,0
6.996525667,0,60.42761755,0
4.810513142,0,56.01755237,0
0,0,87.40511426,0
0,0,95.43040929,0
0,0,95.21679795,0
0,0,77.67954284,0
0,0,79.70281738,0
0,0,73.06139019,0
2.258927083,0,108.6054585,0
7.150794017,0,32.78597152,0
9.393849217,0,27.06105116,0
7.31994035,0,28.82456537,0
6.840278158,0,27.72921338,0
8.409225808,0,25.34480588,0
4.769344117,0,28.0815012,0
0,0,26.89163724,0
0.47073475,0,27.27920819,0
6.052081608,0,30.51870105,0
5.61210255,0,30.59263655,0
1.511409108,0,23.99919015,0
5.775794283,0,25.12431932,0
3.939980525,0,32.60963788,0
3.729661208,0,25.19192701,0
6.264387517,0,44.85219268,0
3.713789433,0,40.96594026,0
1.439482392,0.227619048,29.5303312,0
4.313989333,0.871587302,31.33072925,0
0,2.51047619,33.00945568,0
0,3.068888889,26.50418253,0
0,3.238095238,28.34376,0
0,5.171746032,33.05200812,0
0,6.343809524,36.29001815,0
0.731646083,14.84269841,39.16021266,0
6.996031733,14.74714286,43.72999655,0
9.499008675,14.53031746,47.69658697,0
7.784226558,10.22476191,45.15812301,0
7.5565465,9.041111111,51.56687918,0
9.149305425,6.277777778,42.41510153,0
8.87450335,4.892857143,37.61376126,0
7.4424592,8.472222222,30.62777823,0
6.597221717,10.16269841,45.59209828,0
1.9260909,6.329365079,43.92086849,0
0,5.347777778,40.16823638,0
0,1.136031746,43.51636633,0
0,0.349206349,39.89042007,0
0,0,35.1243774,0
0,0,47.18691437,0
0,0,46.51696569,0
1.958828125,0,47.70678814,0
0,0,66.53979028,0
0,0,89.11995994,0
0,0.18,88.20730313,0
1.991071425,0,86.25316663,0
3.387400183,0,82.06643307,0
0.747519842,0,78.18872835,0
0,0,92.56600625,0
0,0,93.66115045,0
0,0,29.29228262,0
0,0,37.94094688,0
0,0,35.35816541,0
0,0,35.57156459,0
0,0,37.13573774,0
0,0,35.69650574,0
0,0,35.01837752,0
0,0,35.1897934,0
0,0,39.27214392,0
0,0,42.82245199,0
0,0,33.93661201,0
0,0,35.12858373,0
0,0,38.4932787,0
0,0,39.41120286,0
0,0,36.17801377,0
0,0,34.98800455,0
0,0.18,36.10353378,0
0,0.871587302,44.41086346,0
0,1.334444444,45.63446216,0
0,2.907301587,40.25457487,0
0,6.016984127,44.05057687,0
0,4.902222222,53.00810369,0
0,8.577936508,44.73176793,0
0,11.52238095,66.39776666,0
0,11.57396825,51.60348594,0
0,11.11253968,61.90978862,0
0,4.604603175,41.10095106,0
0,4.80015873,47.34352867,0
0,11.89428571,43.78965208,0
0,13.89,43.88394743,0
0,10.67968254,40.07592427,0
0,7.088412698,41.60630984,0
0,5.927142857,43.52761155,0
0,3.054126984,43.67351084,0
0,0.739206349,54.07167683,0
1.528095,0,63.98984698,0
3.795000717,0,63.38724499,0
3.989761017,0,94.17475781,0
3.529047317,0,109.8715044,0
3.065476125,0,102.077438,0
0.854523925,0,107.4562844,0
0.225952675,0,139.5118348,0
0.335476308,0,94.63827856,0
0,0,98.77254713,0
0,0,84.38572518,0
